"","Bin","classification","phylum","class"
"1","12C16O_0h_100_P08_coass_bin.13","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__","Acidobacteriota","Thermoanaerobaculia"
"272","12C18O_168h_50_P13_coass_bin.21","d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__","Acidobacteriota","Blastocatellia"
"273","12C18O_168h_50_P13_coass_bin.24","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__","Proteobacteria","Gammaproteobacteria"
"278","12C18O_168h_50_P13_coass_bin.5","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__","Actinobacteriota","Actinomycetia"
"286","12C18O_24h_100_P08_coass_bin.29","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__","Actinobacteriota","Actinomycetia"
"298","12C18O_48h_100_P08_coass_bin.1","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__","Actinobacteriota","Actinomycetia"
"317","12C18O_72h_100_P08_coass_bin.19","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","Proteobacteria","Alphaproteobacteria"
"341","H1-16-all-fractions_metab_conc_1.Actinobacteria_71_32","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__","Actinobacteriota","Thermoleophilia"
"342","H1-16-all-fractions_metab_conc_2.Bradyrhizobium_62_16","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__","Proteobacteria","Alphaproteobacteria"
"344","H1-16-all-fractions_metab_conc_21.Actinobacteria_69_13","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__;s__","Actinobacteriota","Thermoleophilia"
"352","H1-16-all-fractions_metab_conc_65.Bacteria_66_15","d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QHXN01;s__","Acidobacteriota","Blastocatellia"
