"","taxonID","comparisonID","trt.code.1","trt.code.2","wad1.obs.mean","wad2.obs.mean","wad1.boot.mean","wad1.boot.median","wad1.boot.CI.L","wad1.boot.CI.U","wad2.boot.mean","wad2.boot.median","wad2.boot.CI.L","wad2.boot.CI.U","wad.diff.obs","wad.diff.boot.mean","wad.diff.boot.median","wad.diff.boot.CI.L","wad.diff.boot.CI.U","wad.diff.p.value","ape.obs","ape.boot.mean","ape.boot.median","ape.boot.CI.L","ape.boot.CI.U","r.obs","r.boot.mean","r.boot.median","r.boot.CI.L","r.boot.CI.U","f.obs","f.boot.mean","f.boot.median","f.boot.CI.L","f.boot.CI.U","N1.obs.mean","N2.obs.mean","N1.boot.mean","N1.boot.median","N1.boot.CI.L","N1.boot.CI.U","N2.boot.mean","N2.boot.median","N2.boot.CI.L","N2.boot.CI.U","N.obs.mean","N.boot.mean","N.boot.median","N.boot.CI.L","N.boot.CI.U","message","AFE_48h","AFE_168h","taxonomy","bin"
"36","sip34",5,"t168_16O_t48_16O","t168_18O",1.72171564645312,1.73422602651846,1.72172195379289,1.72178240037523,1.71933981586963,1.72357274631367,1.73417765518117,1.73422602651846,1.73050825774031,1.7381685915002,0.0125103800653459,0.0124557013882862,0.0123656089191234,0.00841169986478499,0.0167473211032338,0.007,0.18501714444696,0.18421844105502,0.18293453167274,0.124371774768391,0.247924267444608,138.363936886068,137.544958352429,135.114227286619,97.8582040142118,187.926339883628,2.30606561476779,2.29241597254048,2.25190378811032,1.63097006690353,3.13210566472713,2910.30859416967,3583.36583837688,2914.26695328044,2906.5499907292,2461.38150809108,3434.03456457475,3603.57925411759,3583.36583837688,2748.32595465122,4765.35606543984,3134.66100890541,3144.03772022616,3139.67248015937,2721.5137370842,3616.63263880454,"none",0.038621438,0.185017144,"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__","H1-18-all-fractions_metab_conc_37.Gemmatimonadetes_69_16"
"37","sip37",5,"t168_16O_t48_16O","t168_18O",1.70488585643973,1.71381728727311,1.70488779549504,1.70482840933891,1.70309083706744,1.7072137644972,1.71380841298887,1.71381728727311,1.71145970794087,1.71597668059448,0.00893143083337811,0.00892061749382659,0.00901922403056621,0.00592382266913977,0.0115718243277927,0.009,0.133348371213942,0.133196180551218,0.134704466558696,0.0884092602839741,0.172885138218987,28.7026871830557,28.9040609368897,28.620330947619,16.3697514944724,42.6602525232182,0.478378119717594,0.481734348948162,0.47700551579365,0.272829191574539,0.711004208720304,831.424454096839,1043.82379005357,833.646830227524,829.469051337096,518.494453089044,1185.6273570278,1050.46156638219,1043.82379005357,434.780039205776,1573.43145075786,902.224232749082,905.918408945747,905.276912876785,634.112303810937,1183.08565532971,"none",0.047793321,0.133348371,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-40;g__;s__","12C16O_168h_50_unf_bin.22"
"38","sip37",3,"t168_16O_t48_16O","t48_18O",1.70488585643973,1.70808696596615,1.70488779549504,1.70482840933891,1.70309083706744,1.7072137644972,1.70811422310675,1.70808696596615,1.70605291715145,1.71012832673091,0.00320110952642128,0.00322642761170302,0.00324396823821549,0.000308754423081981,0.00574731044205135,0.066,0.0477933210690555,0.0481810212031209,0.0484440259495162,0.00460745686491847,0.0858685233789378,31.2221254949146,31.4235626592338,30.82116427876,3.25763895563473,61.7316668156629,0.520368758248577,0.523726044320564,0.513686071312667,0.0542939825939122,1.02886111359438,831.424454096839,684.232269145492,833.646830227524,829.469051337096,518.494453089044,1185.6273570278,684.151934407583,684.232269145492,435.926475283137,865.897197149419,782.36039244639,783.815198287544,779.20798116757,558.008133681164,1013.03840671698,"none",0.047793321,0.133348371,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-40;g__;s__","12C16O_168h_50_unf_bin.22"
"39","sip43",5,"t168_16O_t48_16O","t168_18O",1.71569605983872,1.75274367022735,1.71569262231805,1.71582518277775,1.71233789665758,1.71857298156581,1.75265517725973,1.75274367022735,1.74521545274125,1.7625,0.0370476103886346,0.0369566990770982,0.0366649901881992,0.0291366935584899,0.0464213199608468,0.011,0.549758999716144,0.548435945266341,0.543959890963177,0.43227045306278,0.688704292968723,72.0694782954525,71.3248607229215,71.6814943574108,37.5761727245237,104.826491528538,1.20115797159088,1.18874767871536,1.19469157262351,0.626269545408728,1.74710819214229,561.571656801453,525.322444621034,563.21043492591,561.571656801453,206.76757341922,935.415033656812,530.782540667908,525.322444621034,94.6259432085202,940.883733250021,549.488586074647,552.40113683991,547.619264660314,253.272601211641,827.754967520384,"Warning: no occurrences in rep rA_t168_16O & rA_t48_16O (t48_16O/t168_16O)",0,0.549759,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_168h_50_P10_coass_bin.19"
"40","sip44",3,"t168_16O_t48_16O","t48_18O",1.71950520367795,1.74193196076313,1.71952048817267,1.71957453808162,1.71768409532171,1.7207156681257,1.74190949978459,1.74193196076313,1.74072227215605,1.74311917272218,0.0224267570851815,0.0223893781447763,0.0223539008070075,0.0205345891374184,0.0245208290741464,0.007,0.332083559801892,0.33153344743075,0.331055399042979,0.303872146615892,0.363515307061143,162.161245765468,162.79902340569,160.806115913462,81.0073572676736,259.708444675197,2.70268742942447,2.7133170567615,2.68010193189103,1.35012262112789,4.32847407791995,682.42532429149,389.565239460094,681.116704744916,682.42532429149,265.722346070959,1130.50109323013,390.116978417411,389.565239460094,350.008733429785,430.424542467874,584.805296014358,584.116795969081,584.023538569222,302.752898417022,888.215255711815,"Warning: no occurrences in rep rB_t168_16O & rB_t48_16O (t48_16O/t168_16O)",0.33208356,0.458923756,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_A;s__","H1-18-all-fractions_metab_69.Sphingomonadales_65_37"
"41","sip44",5,"t168_16O_t48_16O","t168_18O",1.71950520367795,1.7504979200638,1.71952048817267,1.71957453808162,1.71768409532171,1.7207156681257,1.75051968594077,1.7504979200638,1.74934817610029,1.75167046325084,0.030992716385855,0.0309988421411277,0.0309810370832921,0.0292798632997879,0.033058649369002,0.015,0.458923755505682,0.459016476384567,0.458588816091047,0.433418795364011,0.489786018725112,76.1869073755764,76.3613566095942,75.6917757491256,42.7097996842764,116.860126246871,1.26978178959294,1.27268927682657,1.26152959581876,0.71182999473794,1.94766877078118,682.42532429149,722.717710574643,681.116704744916,682.42532429149,265.722346070959,1130.50109323013,720.537929610279,722.717710574643,537.599071215289,961.924017514062,695.856119719208,694.25711303337,688.04389824857,393.278136318437,1032.4917170617,"Warning: no occurrences in rep rB_t168_16O & rB_t48_16O (t48_16O/t168_16O)",0.33208356,0.458923756,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_A;s__","H1-18-all-fractions_metab_69.Sphingomonadales_65_37"
"42","sip45",3,"t168_16O_t48_16O","t48_18O",1.7235,1.7416387129183,1.7235,1.7235,1.7235,1.7235,1.74161673432206,1.7416387129183,1.7404578161828,1.74280745787435,0.0181387129182984,0.0181144179385095,0.0181387129182984,0.0169578161828039,0.0193074578743488,0.0110998990918264,0.267986559485463,0.26762761846932,0.267986559485463,0.250539651610675,0.28525393347714,51.9115539372845,52.1901426653213,51.9115539372845,27.5373911796443,77.6422381111174,0.865192565621408,0.869835711088688,0.865192565621408,0.458956519660739,1.29403730185196,209.298445995485,277.362454676951,208.081314445678,209.298445995485,58.9129039473528,369.01307287584,279.790484790456,277.362454676951,170.008904818794,438.107939288481,231.986448889307,231.984371227271,231.762794012801,113.825911266523,354.294300127316,"Warning: no occurrences in rep rA_t48_16O & rB_t48_16O & rC_t48_16O (t48_16O/t168_16O)",0.267986559,0.400087065,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_168h_50_P10_coass_bin.36"
"43","sip45",5,"t168_16O_t48_16O","t168_18O",1.7235,1.75057995664613,1.7235,1.7235,1.7235,1.7235,1.75059765274716,1.75057995664613,1.7492082173813,1.75135846851792,0.0270799566461253,0.0271000425249882,0.0270799566461253,0.0257082173813026,0.0278584685179237,0.0131313131313131,0.400087064903579,0.400383819452534,0.400087064903579,0.379820594633786,0.411589023117566,29.9392871552357,30.1669907520809,29.9392871552357,19.8726870689716,41.4386535238017,0.498988119253928,0.502783179201348,0.498988119253928,0.331211451149527,0.690644225396696,209.298445995485,522.399254586698,208.081314445678,209.298445995485,58.9129039473528,369.01307287584,523.945756224297,522.399254586698,444.855536517515,607.369390178917,313.665382192556,313.369461705217,313.665382192556,203.094809082935,428.312197145417,"Warning: no occurrences in rep rA_t48_16O & rB_t48_16O & rC_t48_16O (t48_16O/t168_16O)",0.267986559,0.400087065,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_168h_50_P10_coass_bin.36"
"44","sip53",3,"t168_16O_t48_16O","t48_18O",1.72506342108256,1.73321772005099,1.7250668886042,1.72517341314595,1.72157566920155,1.72813848394574,1.73324968046665,1.73321772005099,1.72971826243513,1.73571992953878,0.00815429896843467,0.00818279186244747,0.00819082715655661,0.00380056280156059,0.0122937169169122,0.011,0.120368399259028,0.12081279917481,0.120827713021553,0.0560261911472956,0.181957343488687,271.463268935178,271.718946742825,266.397680171337,105.261068267675,466.876697291407,4.52438781558631,4.52864911238042,4.43996133618895,1.75435113779459,7.78127828819011,2859.80271073117,2383.12602303595,2870.02989985702,2799.94432665191,1465.13666160672,4840.35112793083,2391.50037861703,2383.12602303595,784.517010075151,3288.49764715404,2700.91048149943,2710.52005944369,2664.53517073084,1594.14107119367,4136.11896441333,"none",0.120368399,0.22793698,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__","12C16O_72h_100_unf_bin.11"
"45","sip53",5,"t168_16O_t48_16O","t168_18O",1.72506342108256,1.74050490147396,1.7250668886042,1.72517341314595,1.72157566920155,1.72813848394574,1.74046314885787,1.74050490147396,1.73577513257877,1.74923047708996,0.0154414803914065,0.0153962602536688,0.0150339279854651,0.00889260193643051,0.0239936676134672,0.013,0.227936979512054,0.227292505515792,0.221837087708123,0.131109425990857,0.354470621572878,157.152031456789,152.797280733271,149.777223412318,82.1914749356834,244.523534618599,2.61920052427982,2.54662134555452,2.49628705687197,1.36985791559472,4.07539224364332,2859.80271073117,2950.13531286055,2870.02989985702,2799.94432665191,1465.13666160672,4840.35112793083,2957.98602690652,2950.13531286055,551.648204586869,4242.76642345003,2889.91357810763,2899.34860887352,2864.89711137385,1654.84155906752,4307.57921912881,"none",0.120368399,0.22793698,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__","12C16O_72h_100_unf_bin.11"
"46","sip59",3,"t168_16O_t48_16O","t48_18O",1.7147448923297,1.74293321603235,1.71473721213282,1.71476923257966,1.71273045321604,1.71621491893458,1.74290616519912,1.74293321603235,1.74132401384592,1.74398224179657,0.0281883237026557,0.028168953066298,0.0281557770245849,0.0259875095853997,0.030403563466818,0.005,0.418518123416417,0.41823908599091,0.41796922765387,0.385506802056843,0.45175844121205,214.066370198778,214.212692548958,213.613284726662,169.759662861098,261.852495994991,3.56777283664631,3.57021154248263,3.56022141211104,2.82932771435163,4.36420826658318,726.680460018569,384.306988199272,726.180580897318,722.119160961522,585.754495809017,899.697321213954,386.760048485521,384.306988199272,243.710069885471,555.891480195141,612.555969412137,613.040403426719,611.797520174564,504.760337895359,729.658543746691,"none",0.418518123,0.543730314,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_48h_100_unf_bin.25"
"47","sip59",5,"t168_16O_t48_16O","t168_18O",1.7147448923297,1.75136659456029,1.71473721213282,1.71476923257966,1.71273045321604,1.71621491893458,1.75138652320445,1.75136659456029,1.75072617309976,1.75260507428845,0.0366217022305928,0.0366493110716284,0.0365567989013269,0.0348864134016185,0.0388669401709009,0.014,0.543730313853977,0.54414916902807,0.542812148872445,0.517627075114118,0.577824542067457,86.4184852848988,86.5431439735367,86.3009132342642,71.9576979063244,104.6465990396,1.44030808808165,1.44238573289228,1.4383485539044,1.19929496510541,1.74410998399333,726.680460018569,545.230429733319,726.180580897318,722.119160961522,585.754495809017,899.697321213954,545.651727798876,545.230429733319,440.987482059041,659.573201560532,666.197116590153,666.004296531171,662.337788826354,569.70787342088,785.579696343921,"none",0.418518123,0.543730314,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_48h_100_unf_bin.25"
"48","sip61",3,"t168_16O_t48_16O","t48_18O",1.71888444934846,1.73134820185078,1.71888737131955,1.71895179683508,1.71647164839995,1.72065217139195,1.73138644973945,1.73134820185078,1.72895361770621,1.73408136278543,0.012463752502313,0.0124990784198963,0.0124508346915708,0.00955086255044936,0.0157375474176877,0.017,0.184621097485405,0.185153315405536,0.184330684914977,0.141353950884974,0.233462738518433,264.519032475224,267.717682980388,261.671034828359,174.434851068101,388.891052746959,4.40865054125373,4.46196138300646,4.36118391380598,2.90724751780169,6.48151754578265,1934.71837129467,1278.20664438039,1933.73399656277,1934.15994225073,1543.80721985536,2347.21622678972,1286.37201686595,1278.20664438039,1002.68929447982,1794.35655607846,1715.88112898991,1717.94666999716,1715.38001775301,1420.02419640143,2005.43637688394,"none",0.184621097,0.346103383,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_168h_50_P09_coass_bin.9"
"49","sip61",5,"t168_16O_t48_16O","t168_18O",1.71888444934846,1.74224985541173,1.71888737131955,1.71895179683508,1.71647164839995,1.72065217139195,1.74220785523037,1.74224985541173,1.73960632636582,1.74362717306692,0.0233654060632686,0.0233204839108134,0.0233317323199619,0.0203423116872861,0.0262801437074761,0.017,0.346103383374493,0.345447127955925,0.345432637916036,0.301252799770676,0.389635243376438,164.690108924453,164.617564891164,163.875885110065,134.720727127969,202.383125673775,2.74483514874089,2.74362608151939,2.73126475183442,2.24534545213282,3.37305209456291,1934.71837129467,2114.16350932893,1933.73399656277,1934.15994225073,1543.80721985536,2347.21622678972,2127.06693509356,2114.16350932893,1522.221060784,2845.14346225775,1994.53341730609,1998.17830940637,1995.43406461361,1668.31323715094,2339.32033003547,"none",0.184621097,0.346103383,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_168h_50_P09_coass_bin.9"
"50","sip62",3,"t168_16O_t48_16O","t48_18O",1.72149838105767,1.74965612342733,1.72150220766462,1.72149838105767,1.7195893523693,1.72351502126465,1.74956151004178,1.74965612342733,1.74380080395986,1.75275783455029,0.0281577423696642,0.0280593023771616,0.0282615853061032,0.0226160155034688,0.0325323916441766,0.011,0.416478215390289,0.415031251975857,0.418039362033889,0.334558288694938,0.481541707540331,688.541972067154,688.083702263594,689.385399726226,504.027033865673,883.815368919551,11.4756995344526,11.4680617043932,11.4897566621038,8.40045056442789,14.7302561486592,2427.0452843006,1085.69797974434,2430.97866698651,2432.93952972589,1863.91889905495,2932.69721547104,1089.38006968657,1085.69797974434,935.678224390385,1325.81558532216,1979.92951611518,1983.7791345532,1987.9564980945,1606.59950273974,2323.84609215392,"none",0.416478215,0.547702606,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__","H3-18-all-fractions_metab_conc_75.Burkholderiales_69_10"
